"cingular"	"Cingular"	"Bills:Wireless"
"circle k"	"K"	"Food:Groceries"
"circuit city"	"Circuit City"	"Electronics"
"circuit cty"	"Circuit City"	"Electronics"
"cirrus atm"	"Cirrus ATM"	"Bank Charges:Service charge"
"citgo"	"Citgo"	"Automobile:Gasoline"
"citi click pay des payment"	"Citibank"	"Bills:Credit Card Payment"
"citi click pay payment"	"Citibank"	"Bills:Credit Card Payment"
"citi click payment"	"Citibank"	"Bills:Credit Card Payment"
"citibank autopay payment"	"Citibank"	"Automobile:Car payment"
"citibank crdt cd online pmt"	"Citibank"	"Bills:Credit Card Payment"
"city market"	"City Market"	"Food:Groceries"
"city sports"	"City Sports"	"Leisure:Sporting Goods"
"claim jumper"	"Claim Jumper"	"Food:Dining out"
"click food store"	"Food Store"	"Food:Groceries"
"cns cvs"	"CVS"	"Healthcare"
"coastal mar"	"Coasta"	"Leisure:Sporting Goods"
"coco s"	"Coco's"	"Food:Dining out"
"coffee beanery"	"Coffee Beanery"	"Food:Dining out"
"col house dvd club"	"Columbia House Club"	"Leisure:Movies and Video Rentals"
"col house music club"	"Columbia House Club"	"Leisure:Movies and Video Rentals"
"columbia house"	"Columbia House Club"	"Leisure:Movies and Video Rentals"
"comcast cable"	"Comcast"	"Bills:Cable Television"
"comcast"	"Comcast"	"Bills:Cable Television"
"comfort inn"	"Comfort Inn"	"Vacation:Lodging"
"comfort suites"	"Comfort Suites"	"Vacation:Lodging"
"compusa"	"CompUSA"	"Electronics"
"conoco"	"ConocoPhillips"	"Automobile:Gasoline"
"continental air payroll"	"Continental Airlines"	"Vacation:Travel"
"continental air"	"Continental Airlines"	"Vacation:Travel"
"cost cutters"	"Cost Cutters"	"Personal Care"
"costco gas"	"Costco gas"	"Automobile:Gasoline"
"costco wholesal"	"Costco"	"Food:Groceries"
"costco"	"Costco"	"Food:Groceries"
"country buffet"	"Country buffet"	"Food:Dining out"
"countrywide mortgage"	"Countrywide mortgage Co."	"Bills:Mortgage Payment"
"courtyard by marriott"	"Marriott"	"Vacation:Lodging"
"cox cable"	"COX"	"Bills:Cable Television"
"cox comm"	"COX"	"Bills:Internet Service"
"cracker barrel"	"Cracker Barrel"	"Food:Dining out"
"crate barrel"	"Crate&Barrel"	"Household"
"crowne plaza hotel"	"Crowne Plaza"	"Vacation:Lodging"
"cub foods"	"Cub"	"Food:Groceries"
"cumberland"	"Cumberland"	"Automobile"
"customer withdrawal"	"customer withdrawal"	"Cash Withdrawal"
"cvs"	"CVS"	"Healthcare"
"dairy mart"	"Dairy Mart"	"Food:Groceries"
"dairy queen"	"Dairy Queen"	"Food:Dining out"
"dave busters"	"D&B"	"Leisure:Sporting Events"
"days inn"	"Days Inn"	"Vacation:Lodging"
"dell"	"Dell"	"Electronics"
"delta air"	"Delta Air Lines"	"Vacation:Travel"
"deluxe check"	"Deluxe check"	"Mail and Paper Work"
"denny s"	"Denny's"	"Food:Dining out"
"diamond parking"	"Diamond parking"	"Automobile:Parking"
"diamond shamro"	"Diamond"	"Automobile:Parking"
"dick s clothing"	"Dick's"	"Leisure:Sporting Goods"
"dillards"	"Dillards"	"Clothing"
"dillons"	"Dillons"	"Food:Groceries"
"direct dep advance"	"Direct deposit advance"	"Investment Income"
"directv"	"DirecTV"	"Bills:Cable Television"
"discount auto"	"discount auto"	"Automobile:Maintenance"
"discount drug mart"	"discount Drug Mart"	"Healthcare"
"discount liquor"	"discount liquor"	"Food:Alcohol"
"discount tire"	"discount tire"	"Automobile:Maintenance"
"discover bus svc des settlement"	"Discover"	"Vacation:Travel"
"discover bus svc settlement"	"Discover"	"Vacation:Travel"
"discover card des online pmt"	"Discover"	"Bills:Internet Service"
"discover card online pmt"	"Discover"	"Bills:Credit Card Payment"
