"dcfs"	"Mercedes-Benz Financial"	"Bills:Loan Payment"
"att"	"AT&T"	"Bills:Telephone"
"fpl"	"Florida Power & Light"	"Bills:Electricity"
"citrix"	"Citrix Systems"	"Business Expense:Software"
"denny's"	"Denny's"	"Food:Dining out"
"airtran"	"AirTran"	"Vacation:Travel"
"wholefds"	"Whole Food"	"Food:Dining out"
"imax"	"IMAX"	"Leisure:Entertaining"
"mcdonald's"	"McDonald's"	"Food:Dining out"
"homewood suites"	"Homewood Suites WASHWASHINGTON"	"Vacation:Lodging"
"wine & spirits"	"Wine & Spirits"	"Food:Alcohol"
"online payment"	"Credit card payment"	"Bills:Credit Card Payments/Transfers"
"get-go"	"Giant Eagle"	"Food:Groceries"
"7 springs"	"7 Springs"	"Leisure:Sporting Events"
"necc telecom"	"NECC Telecom"	"Bills:Telephone"
"park avenue gym"	"Park Avenue Gymnastics"	"Education:Tuition"
"costco"	"Costco"	"Food:Groceries"
"shell oil"	"Shell"	"Automobile:Gasoline"
"total wine"	"Total Wine"	"Food:Alcohol"
"sunpass"	"SunPass"	"Automobile:Toll roads"
"benedum center"	"Benedum Center"	"Leisure:Cultural Events"
"wwwplatepasscom"	"PlatePass.com"	"Automobile:Toll roads"
"wal-mart"	"Walmart"	"Household"
"zoo"	"Zoo"	"Leisure:Cultural Events"
"bealls"	"Bealls"	"Clothing"
"syms"	"SYMS"	"Clothing"
"pf changs"	"P.F. Changs"	"Food:Dining out"
"bed bath & beyond"	"Bed Bath & Beyond"	"Household"
"all stone tiles"	"All Stone Tiles"	"Household"
"lowe's"	"Lowe's"	"Household"
"chili's grill"	"Chili's Grill"	"Food:Dining out"
"t-mobile"	"T-Mobile"	"Bills:Cellular"
"fandango.com"	"Fandango.com"	"Leisure:Cultural Events"
"dsw"	"DSW"	"Clothing"
"cinemark"	"CineMark"	"Leisure:Cultural Events"
"young at art"	"Young at Art"	"Leisure:Entertaining"
"sports author"	"Sports Authority"	"Leisure:Sporting Goods"
"big al s"	"Big Al's"	"Leisure:Hobbies"
"flamingo gardens"	"Flamingo Gardens"	"Leisure:Cultural Events"
"radioshack"	"Radio Shack"	"Household"
"pet supplies"	"Pet Supplies"	"Leisure:Hobbies"
"big als"	"Big Al's"	"Leisure:Hobbies"
"finnair"	"FinnAir"	"Vacation:Travel"
"toyota"	"Toyota"	"Automobile:Maintenance"
"disney"	"Disney World"	"Leisure:Entertaining"
"winn-dixie"	"Winn-Dixie"	"Food:Groceries"
"ponderosa"	"Ponderosa Steakhouse"	"Food:Dining out"
"7-eleven"	"7-Eleven"	"Automobile:Gasoline"
"isle at pompano"	"Isle Casino"	"Food:Dining out"
"islepompano"	"Isle Casino"	"Food:Dining out"
"v f outlet"	"VF Outlet"	"Clothing"
"arbys"	"ARBY'S"	"Food:Dining out"
"pet"	"Petsmart"	"Pet Care"
"toys  r  us"	"Toys-R-Us"	"Leisure:Toys and Games"
"learning express"	"Learning Express"	"Leisure:Toys and Games"
"moes"	"MOE'S"	"Food:Dining out"
"penn dutch"	"Penn Dutch"	"Food:Groceries"
"justice"	"Justice"	"Clothing"
"claires"	"Claires"	"Clothing"
"sparez"	"Sparez"	"Leisure:Cultural Events"
"pediatric assoc"	"Pediatrican"	"Healthcare"
"1000 bulbs"	"1000 Bulbs"	"Household"
"rockler"	"Rockler"	"Household"
"kay"	"Kay"	"Gifts"
"miami int l airport"	"Miami International Airport"	"Vacation"
"sawgrass mills"	"Sawgrass Mills"	"Clothing"
"barnes   noble"	"Barnes & Noble"	"Leisure:Books and Magazines"
"beer"	"Liquor Store"	"Food:Alcohol"
"traffic"	"Highway fee"	"Automobile:Toll roads"
"pinocchio village"	"Pinocchio Village"	"Food:Dining out"
"computer payment"	"Card's owner"	"Bills:Credit Card Payment"
"consumerreports"	"Consumer Reports"	"Miscellaneous"
"genesis lamp"	"Genesis Lamp"	"Household"
"parts geek"	"Parts Geek"	"Automobile:Maintenance"
"expedia"	"Expedia.com"	"Vacation"
"cb smith park"	"CB Smith Park"	"Leisure:Entertaining"
"payment"	"Card's owner"	"Bills:Credit Card Payment"
"crutchfield.com"	"Crutchfield.com"	"Electronics"
"webtelek.com"	"WebTelek.com"	"Leisure:Movies and Video Rentals"
"google"	"Google"	"Business Expense:Advertising"
"1 1"	"1and1"	"Business Expense:Hosting"
"advanced cable"	"Advanced Cable Communications"	"Bills:Cable Television"
"fry s"	"Fry's"	"Electronics"
"gogo inflight"	"GoGo Inflight Internet"	"Bills:Online/Internet Service"
"newegg"	"NewEgg"	"Electronics"
"cnet upload"	"CNet"	"Business Expense:Advertising"
"cbs upload"	"CNet"	"Business Expense:Advertising"
"1and1"	"1and1"	"Business Expense:Hosting"
